id,name,department,salary
1,John,Engineering,60000
2,Alice,HR,50000
3,Bob,Marketing,55000
4,Jane,Engineering,65000
5,Mike,HR,48000
6,Sara,Sales,52000
7,Tom,Finance,70000
8,Emma,Engineering,63000
9,David,Marketing,58000
10,Olivia,HR,49000
11,John,Finance,75000
12,Alice,Sales,54000
13,Bob,Engineering,67000
14,Jane,Marketing,60000
15,Mike,HR,50000
16,Sara,Engineering,68000
17,Tom,Finance,72000
18,Emma,Sales,53000
19,David,HR,51000
20,Olivia,Marketing,59000
21,John,Engineering,64000
22,Alice,HR,52000
23,Bob,Marketing,56000
24,Jane,Engineering,66000
25,Mike,HR,48000
26,Sara,Sales,55000
27,Tom,Finance,71000
28,Emma,Engineering,63500
29,David,Marketing,57000
30,Olivia,HR,49500
31,John,Finance,76000
32,Alice,Sales,54500
33,Bob,Engineering,67500
34,Jane,Marketing,60500
35,Mike,HR,50500
36,Sara,Engineering,68500
37,Tom,Finance,72500
38,Emma,Sales,53500
39,David,HR,51500
40,Olivia,Marketing,59500
41,John,Engineering,65000
42,Alice,HR,53000
43,Bob,Marketing,56500
44,Jane,Engineering,67000
45,Mike,HR,49000
46,Sara,Sales,55500
47,Tom,Finance,71500
48,Emma,Engineering,64000
49,David,Marketing,57500
50,Olivia,HR,50000
51,John,Engineering,65500
52,Alice,HR,53500
53,Bob,Marketing,57000
54,Jane,Engineering,67500
55,Mike,HR,49500
56,Sara,Sales,56000
57,Tom,Finance,72000
58,Emma,Engineering,64500
59,David,Marketing,58000
60,Olivia,HR,50500
61,John,Finance,76500
62,Alice,Sales,55000
63,Bob,Engineering,68000
64,Jane,Marketing,61000
65,Mike,HR,51000
66,Sara,Engineering,69000
67,Tom,Finance,73000
68,Emma,Sales,54000
69,David,HR,52000
70,Olivia,Marketing,60000
71,John,Engineering,66000
72,Alice,HR,54000
73,Bob,Marketing,57500
74,Jane,Engineering,68000
75,Mike,HR,50000
76,Sara,Sales,56500
77,Tom,Finance,72500
78,Emma,Engineering,65000
79,David,Marketing,58500
80,Olivia,HR,51000
81,John,Finance,77000
82,Alice,Sales,55500
83,Bob,Engineering,68500
84,Jane,Marketing,61500
85,Mike,HR,51500
86,Sara,Engineering,69500
87,Tom,Finance,73500
88,Emma,Sales,54500
89,David,HR,52500
90,Olivia,Marketing,60500
91,John,Engineering,66500
92,Alice,HR,54500
93,Bob,Marketing,58000
94,Jane,Engineering,68500
95,Mike,HR,50500
96,Sara,Sales,57000
97,Tom,Finance,73000
98,Emma,Engineering,65500
99,David,Marketing,59000
100,Olivia,HR,51500
101,John,Engineering,67000
102,Alice,HR,55000
103,Bob,Marketing,58500
104,Jane,Engineering,69000
105,Mike,HR,51000
106,Sara,Sales,57500
107,Tom,Finance,73500
108,Emma,Engineering,66000
109,David,Marketing,59500
110,Olivia,HR,52000
111,John,Finance,77500
112,Alice,Sales,56000
113,Bob,Engineering,68500
114,Jane,Marketing,62000
115,Mike,HR,52000
116,Sara,Engineering,70000
117,Tom,Finance,74000
118,Emma,Sales,55000
119,David,HR,53000
120,Olivia,Marketing,61000
121,John,Engineering,67500
122,Alice,HR,55500
123,Bob,Marketing,59000
124,Jane,Engineering,69500
125,Mike,HR,51500
126,Sara,Sales,58000
127,Tom,Finance,74500
128,Emma,Engineering,66500
129,David,Marketing,60000
130,Olivia,HR,52500
131,John,Finance,78000
132,Alice,Sales,56500
133,Bob,Engineering,69000
134,Jane,Marketing,62500
135,Mike,HR,52500
136,Sara,Engineering,70500
137,Tom,Finance,75000
138,Emma,Sales,55500
139,David,HR,53500
140,Olivia,Marketing,61500
141,John,Engineering,68000
142,Alice,HR,56000
143,Bob,Marketing,59500
144,Jane,Engineering,70000
145,Mike,HR,52000
146,Sara,Sales,58500
147,Tom,Finance,75500
148,Emma,Engineering,67000
149,David,Marketing,60500
150,Olivia,HR,53000
151,John,Engineering,68500
152,Alice,HR,56500
153,Bob,Marketing,60000
154,Jane,Engineering,70500
155,Mike,HR,52500
156,Sara,Sales,59000
157,Tom,Finance,76000
158,Emma,Engineering,67500
159,David,Marketing,61000
160,Olivia,HR,53500
161,John,Finance,78500
162,Alice,Sales,57000
163,Bob,Engineering,69000
164,Jane,Marketing,63000
165,Mike,HR,53000
166,Sara,Engineering,71000
167,Tom,Finance,76500
168,Emma,Sales,57500
169,David,HR,54000
170,Olivia,Marketing,62000
171,John,Engineering,69000
172,Alice,HR,57500
173,Bob,Marketing,60500
174,Jane,Engineering,71500
175,Mike,HR,53500
176,Sara,Sales,59500
177,Tom,Finance,77000
178,Emma,Engineering,68000
179,David,Marketing,62500
180,Olivia,HR,54000
181,John,Finance,79000
182,Alice,Sales,57500
183,Bob,Engineering,69500
184,Jane,Marketing,63500
185,Mike,HR,54000
186,Sara,Engineering,71500
187,Tom,Finance,77500
188,Emma,Sales,58000
189,David,HR,54500
190,Olivia,Marketing,62500
191,John,Engineering,69500
192,Alice,HR,58000
193,Bob,Marketing,61000
194,Jane,Engineering,72000
195,Mike,HR,54500
